"","Name","Fraction_Zoonotic","no_viruses","no_zoonotic"
"1","No Common Name","0.255681818181818","352","90"
"2","Family_Papillomaviridae","0","42","0"
"3","Family_Herpesviridae","0.0441176470588235","68","3"
"4","Subfamily_Orthoretrovirinae","0","14","0"
"5","Order_Nidovirales","0","20","0"
"6","Genus_Parvovirus","0","10","0"
"7","Family_Caliciviridae","0.0588235294117647","17","1"
"8","Family_Adenoviridae","0.214285714285714","28","6"
"9","Genus_Mamastrovirus","0","6","0"
"10","Genus_Deltaretrovirus","0.5","4","2"
"11","Genus_Alphavirus","0.2","25","5"
